state_Name,Total_Case,Toatl_Jail
Maharashtra,390,775
Rajasthan,294,436
Odisha,272,305
"Andhra Pradesh",195,209
Gujarat,165,144
Kerala,122,185
Punjab,107,338
Haryana,79,1014
Karnataka,77,636
"Tamil Nadu",43,68
Delhi,39,162
"Madhya Pradesh",29,476
"Jammu & Kashmir",27,204
"Uttar Pradesh",26,152
"Himachal Pradesh",20,206
Chhattisgarh,15,74
Jharkhand,15,26
Bihar,12,13
Sikkim,7,45
Chandigarh,3,9
Puducherry,1,10
Nagaland,0,17
Mizoram,0,14
Goa,0,8
Uttarakhand,0,7
Manipur,0,0
"Andaman & Nicobar Islands",0,7
Assam,0,51
"West Bengal",0,33
Tripura,0,0
"Arunachal Pradesh",0,0
Meghalaya,0,0
"Dadra & Nagar Haveli",0,0
Lakshadweep,0,0
"Daman & Diu",0,8
